position,player,avg,ab,r,h,rbi,so,walks,hbp,sac,sb,err,hr,inn1,inn2,inn3,inn4,inn5,inn6,inn7,inn8,inn9,inn10,inn11,inn12,day_of_game,vs_team,starting,series
(中),岡林 勇希,.250,4,0,1,0,1,0,0,0,0,0,0,二ゴロ,,左２,,,二ゴロ,,見三振,,,,,2025/03/28,DeNA,1,2025RS
(二),山本 泰寛,.000,3,0,0,0,1,0,0,0,0,0,0,一邪飛,,一直,,,空三振,,,,,,,2025/03/28,DeNA,1,2025RS
打,板山 祐太郎,-,0,0,0,0,0,1,0,0,0,0,0,,,,,,,,,四球,,,,2025/03/28,DeNA,0,2025RS
(左),カリステ,.250,4,0,1,0,1,0,0,0,0,0,0,左安,,,三ゴロ,,中飛,,,空三振,,,,2025/03/28,DeNA,1,2025RS
(三),石川 昂弥,.000,4,0,0,0,3,0,0,0,0,0,0,左飛,,,空三振,,,見三振,,空三振,,,,2025/03/28,DeNA,1,2025RS
(右),細川 成也,.250,4,0,1,0,1,0,0,0,0,0,0,,二ゴロ,,二飛,,,左２,,空三振,,,,2025/03/28,DeNA,1,2025RS
(一),中田 翔,.333,3,0,1,0,1,0,0,0,0,0,0,,空三振,,,遊安,,三ゴロ,,,,,,2025/03/28,DeNA,1,2025RS
(遊),村松 開人,.000,3,0,0,0,0,0,0,0,0,0,0,,二ゴロ,,,三直,,二ゴロ,,,,,,2025/03/28,DeNA,1,2025RS
(捕),木下 拓哉,.000,2,0,0,0,1,0,0,0,0,0,0,,,見三振,,遊飛,,,,,,,,2025/03/28,DeNA,1,2025RS
打,大島 洋平,.000,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,二ゴロ,,,,,2025/03/28,DeNA,0,2025RS
捕,石伊 雄太,-,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,2025/03/28,DeNA,0,2025RS
(投),髙橋 宏斗,.000,2,0,0,0,0,0,0,0,0,0,0,,,一ゴロ,,二ゴロ,,,,,,,,2025/03/28,DeNA,1,2025RS
投,藤嶋 健人,-,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,2025/03/28,DeNA,0,2025RS
投,祖父江 大輔,-,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,2025/03/28,DeNA,0,2025RS
打,上林 誠知,.000,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,一ゴロ,,,,,2025/03/28,DeNA,0,2025RS
投,橋本 侑樹,-,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,2025/03/28,DeNA,0,2025RS
(中),岡林 勇希,.111,5,0,0,0,1,0,0,0,0,0,0,空三振,,一ゴロ,中飛,,,捕飛,,投ゴロ,,,,2025/03/29,DeNA,1,2025RS
(遊),村松 開人,.000,4,0,0,0,2,1,0,0,1,1,0,空三振,,四球,,空三振,,二ゴロ,,二ゴロ,,,,2025/03/29,DeNA,1,2025RS
(左),上林 誠知,.333,5,0,2,0,2,0,0,0,0,0,0,空三振,,見三振,,一安,,,三安,中飛,,,,2025/03/29,DeNA,1,2025RS
(三),石川 昂弥,.125,4,0,1,0,1,0,0,0,0,0,0,,右飛,空三振,,遊飛,,,左２,,,,,2025/03/29,DeNA,1,2025RS
(右),細川 成也,.250,4,0,1,0,2,0,0,0,0,0,0,,三ゴロ,,左安,,見三振,,空三振,,,,,2025/03/29,DeNA,1,2025RS
捕,加藤 匠馬,-,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,2025/03/29,DeNA,0,2025RS
(一),カリステ,.286,3,1,1,0,0,1,0,0,0,0,0,,四球,,中安,,三ゴロ,,右飛,,,,,2025/03/29,DeNA,1,2025RS
(二),板山 祐太郎,.667,3,0,2,0,0,1,0,0,0,0,0,,中安,,中安,,遊直,,故意四,,,,,2025/03/29,DeNA,1,2025RS
(捕),木下 拓哉,.400,3,0,2,1,0,0,0,0,0,0,0,,左安,,二飛,,,中安,,,,,,2025/03/29,DeNA,1,2025RS
打,大島 洋平,.000,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,左飛,,,,,2025/03/29,DeNA,0,2025RS
投,清水 達也,-,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,2025/03/29,DeNA,0,2025RS
投,松山 晋也,-,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,2025/03/29,DeNA,0,2025RS
(投),松葉 貴大,.000,3,0,0,0,1,0,0,0,0,1,0,,遊ゴロ,,空三振,,,投ゴロ,,,,,,2025/03/29,DeNA,1,2025RS
右,駿太,1.000,1,0,1,0,0,0,0,0,0,0,0,,,,,,,,,右安,,,,2025/03/29,DeNA,0,2025RS
(中),岡林 勇希,.231,4,0,2,0,0,0,0,0,0,0,0,右飛,,中安,,中３,,,左飛,,,,,2025/03/30,DeNA,1,2025RS
(右),駿太,.250,3,0,0,0,0,0,0,0,0,0,0,一ゴロ,,二ゴロ,,三邪飛,,,,,,,,2025/03/30,DeNA,1,2025RS
打,中田 翔,.500,1,0,1,0,0,0,0,0,0,0,0,,,,,,,,中安,,,,,2025/03/30,DeNA,0,2025RS
走二,樋口 正修,-,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,2025/03/30,DeNA,0,2025RS
(左右),上林 誠知,.400,4,0,2,1,0,0,0,0,0,0,0,中飛,,,右安,,左飛,,右２,,,,,2025/03/30,DeNA,1,2025RS
(三),石川 昂弥,.083,4,0,0,0,2,0,0,0,0,0,0,,右飛,,三ゴロ,,空三振,,空三振,,,,,2025/03/30,DeNA,1,2025RS
(二),板山 祐太郎,.286,4,0,0,0,0,0,0,0,0,0,0,,遊ゴロ,,左飛,,中飛,,左飛,,,,,2025/03/30,DeNA,1,2025RS
投,齋藤 綱記,-,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,2025/03/30,DeNA,0,2025RS
(一),カリステ,.200,3,0,0,0,2,1,0,0,0,0,0,,見三振,,四球,,,見三振,,右飛,,,,2025/03/30,DeNA,1,2025RS
(遊),村松 開人,.000,4,0,0,0,0,0,0,0,0,0,0,,,三ゴロ,左飛,,,二ゴロ,,右飛,,,,2025/03/30,DeNA,1,2025RS
(捕),木下 拓哉,.250,3,0,0,0,0,0,0,0,0,0,0,,,投ゴロ,,三ゴロ,,三飛,,,,,,2025/03/30,DeNA,1,2025RS
打,細川 成也,.250,0,0,0,0,0,1,0,0,0,0,0,,,,,,,,,四球,,,,2025/03/30,DeNA,0,2025RS
走,加藤 匠馬,-,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,2025/03/30,DeNA,0,2025RS
(投),メヒア,.500,2,0,1,0,1,0,0,0,0,0,0,,,中安,,空三振,,,,,,,,2025/03/30,DeNA,1,2025RS
打左,大島 洋平,.000,1,1,0,0,1,1,0,0,0,0,0,,,,,,,,四球,空三振,,,,2025/03/30,DeNA,0,2025RS
(中),岡林 勇希,.235,4,0,1,0,0,0,0,0,0,0,0,二ゴロ,,三ゴロ,,左安,,左飛,,,,,,2025/04/01,巨人,1,2025RS
(二),山本 泰寛,.000,3,1,0,0,2,1,0,0,0,0,0,空三振,,見三振,,右飛,,,四球,,,,,2025/04/01,巨人,1,2025RS
(右),細川 成也,.273,3,0,1,0,0,1,0,0,0,0,0,遊ゴロ,,,左安,,左飛,,四球,,,,,2025/04/01,巨人,1,2025RS
走右,駿太,.250,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,2025/04/01,巨人,0,2025RS
(三),石川 昂弥,.188,4,1,2,0,1,0,0,0,0,0,0,,右２,,見三振,,三ゴロ,,投安,,,,,2025/04/01,巨人,1,2025RS
(左一),カリステ,.167,2,0,0,1,0,0,0,1,0,0,0,,投犠打,,二併打,,右飛,,右犠飛,,,,,2025/04/01,巨人,1,2025RS
