wls,pitcher,innings,pitches,at_bats,hits,homeruns,strikeouts,walks,hit_by_pitch,balks,runs,earned_runs,catcher,day_of_game,vs_team,starting,series
L,有原 航平,7,88,29,8,1,3,0,0,0,7,7,谷川原,2025/03/28,ロッテ,1,2025RS
,津森 宥紀,1,25,7,3,0,0,1,1,0,1,1,谷川原,2025/03/28,ロッテ,0,2025RS
,津森 宥紀,1,26,6,1,0,1,1,0,0,0,0,渡邉,2025/03/28,ロッテ,0,2025RS
,大関 友久,5,82,20,4,1,1,1,0,0,3,3,海野,2025/03/29,ロッテ,1,2025RS
,杉山 一樹,1,13,4,1,1,0,0,0,0,1,1,海野,2025/03/29,ロッテ,0,2025RS
H,松本 裕樹,1,12,3,0,0,1,0,0,0,0,0,海野,2025/03/29,ロッテ,0,2025RS
H,ヘルナンデス,1,18,4,1,0,2,0,0,0,0,0,海野,2025/03/29,ロッテ,0,2025RS
H,オスナ,1,7,3,0,0,0,0,0,0,0,0,海野,2025/03/29,ロッテ,0,2025RS
L,藤井 皓哉,1,19,5,2,0,1,0,0,0,1,1,海野,2025/03/29,ロッテ,0,2025RS
,上沢 直之,6.2,76,23,3,1,3,1,0,0,3,3,海野,2025/03/30,ロッテ,1,2025RS
,ヘルナンデス,0.1,14,3,2,0,1,0,0,0,1,1,海野,2025/03/30,ロッテ,0,2025RS
L,杉山 一樹,1,20,5,1,0,0,1,0,0,1,1,海野,2025/03/30,ロッテ,0,2025RS
,尾形 崇斗,0.2,25,6,2,0,0,2,0,0,2,2,谷川原,2025/03/30,ロッテ,0,2025RS
,松本 晴,0.1,4,1,0,0,0,0,0,0,0,0,谷川原,2025/03/30,ロッテ,0,2025RS
W,モイネロ,7,91,24,2,1,6,1,1,0,1,1,海野,2025/04/01,日本ハム,1,2025RS
,松本 裕樹,1,7,3,0,0,0,0,0,0,0,0,海野,2025/04/01,日本ハム,0,2025RS
,オスナ,1,13,3,0,0,1,0,0,0,0,0,海野,2025/04/01,日本ハム,0,2025RS
L,前田 純,4.1,76,20,4,0,1,1,1,0,2,1,谷川原,2025/04/02,日本ハム,1,2025RS
,尾形 崇斗,0.2,11,3,0,0,0,0,0,0,0,0,谷川原,2025/04/02,日本ハム,0,2025RS
,杉山 一樹,1,18,4,0,0,1,1,0,0,0,0,谷川原,2025/04/02,日本ハム,0,2025RS
,藤井 皓哉,1,18,4,1,1,3,0,0,0,1,1,谷川原,2025/04/02,日本ハム,0,2025RS
,大山 凌,1,18,4,1,0,1,0,0,0,0,0,谷川原,2025/04/02,日本ハム,0,2025RS
L,有原 航平,3.1,74,20,6,0,1,2,1,0,6,6,谷川原,2025/04/04,西武,1,2025RS
,松本 晴,1.2,29,7,2,0,3,0,0,0,0,0,谷川原,2025/04/04,西武,0,2025RS
,松本 晴,2,23,7,1,0,2,0,0,0,0,0,渡邉,2025/04/04,西武,0,2025RS
,津森 宥紀,2,22,8,1,0,1,0,1,0,0,0,渡邉,2025/04/04,西武,0,2025RS
,大関 友久,6,86,24,2,1,2,3,1,0,2,2,海野,2025/04/05,西武,1,2025RS
L,ヘルナンデス,0.1,22,5,3,0,0,1,0,0,4,4,海野,2025/04/05,西武,0,2025RS
,尾形 崇斗,0.2,9,4,2,0,0,0,0,0,0,0,海野,2025/04/05,西武,0,2025RS
,藤井 皓哉,1,17,4,1,0,0,0,0,0,0,0,海野,2025/04/05,西武,0,2025RS
,大山 凌,1,14,5,1,0,0,1,0,0,0,0,海野,2025/04/05,西武,0,2025RS
W,上沢 直之,6,97,23,6,0,2,1,0,0,0,0,海野,2025/04/06,西武,1,2025RS
,杉山 一樹,1,18,4,2,0,1,0,0,0,1,0,海野,2025/04/06,西武,0,2025RS
,大山 凌,1,15,4,1,0,0,0,0,0,0,0,海野,2025/04/06,西武,0,2025RS
,オスナ,1,20,4,1,0,0,0,0,0,0,0,海野,2025/04/06,西武,0,2025RS
W,モイネロ,5,98,20,6,0,4,0,0,0,0,0,海野,2025/04/08,オリックス,1,2025RS
,尾形 崇斗,1,25,5,2,1,2,0,0,0,2,2,海野,2025/04/08,オリックス,0,2025RS
H,杉山 一樹,1,20,5,1,0,0,1,0,0,0,0,海野,2025/04/08,オリックス,0,2025RS
H,松本 裕樹,1,21,4,1,0,2,0,0,0,0,0,海野,2025/04/08,オリックス,0,2025RS
S,オスナ,1,18,5,1,0,1,0,1,0,0,0,海野,2025/04/08,オリックス,0,2025RS
,大津 亮介,4.1,89,21,7,1,2,1,0,0,5,4,海野,2025/04/09,オリックス,1,2025RS
,松本 晴,0.2,18,4,1,0,1,1,0,0,0,0,海野,2025/04/09,オリックス,0,2025RS
,大山 凌,1,19,6,3,0,1,0,0,0,1,1,海野,2025/04/09,オリックス,0,2025RS
,ヘルナンデス,1,13,3,0,0,1,0,0,0,0,0,海野,2025/04/09,オリックス,0,2025RS
W,津森 宥紀,1,13,5,1,0,0,1,0,0,0,0,渡邉,2025/04/09,オリックス,0,2025RS
,オスナ,1,22,7,3,0,1,0,1,0,3,3,渡邉,2025/04/09,オリックス,0,2025RS
,前田 純,5,89,20,5,1,1,1,0,0,1,1,渡邉,2025/04/10,オリックス,1,2025RS
H,藤井 皓哉,1,20,4,1,0,2,0,0,0,0,0,渡邉,2025/04/10,オリックス,0,2025RS
H,杉山 一樹,1,23,5,1,0,2,1,0,0,0,0,渡邉,2025/04/10,オリックス,0,2025RS
H,ヘルナンデス,1,12,3,1,0,0,0,0,0,0,0,渡邉,2025/04/10,オリックス,0,2025RS
H,松本 裕樹,1,11,3,0,0,1,0,0,0,0,0,渡邉,2025/04/10,オリックス,0,2025RS
H,尾形 崇斗,1,14,4,1,0,1,0,0,0,0,0,渡邉,2025/04/10,オリックス,0,2025RS
H,松本 晴,1,21,4,0,0,2,0,1,0,0,0,渡邉,2025/04/10,オリックス,0,2025RS
,津森 宥紀,1,11,3,0,0,1,0,0,0,0,0,渡邉,2025/04/10,オリックス,0,2025RS
,有原 航平,6.2,118,30,10,1,4,3,0,0,3,3,海野,2025/04/11,ロッテ,1,2025RS
,尾形 崇斗,0.1,13,2,1,0,0,0,0,0,0,0,海野,2025/04/11,ロッテ,0,2025RS
H,藤井 皓哉,1,13,3,0,0,0,1,0,0,0,0,嶺井,2025/04/11,ロッテ,0,2025RS
W,オスナ,1,18,7,3,0,0,1,0,0,1,1,嶺井,2025/04/11,ロッテ,0,2025RS
S,杉山 一樹,1,13,3,0,0,1,0,0,0,0,0,嶺井,2025/04/11,ロッテ,0,2025RS
W,大関 友久,7,98,24,2,0,8,1,0,0,0,0,海野,2025/04/12,ロッテ,1,2025RS
,津森 宥紀,1,9,3,0,0,1,0,0,0,0,0,海野,2025/04/12,ロッテ,0,2025RS
,大山 凌,1,25,5,1,0,0,1,0,0,0,0,海野,2025/04/12,ロッテ,0,2025RS
,モイネロ,7,110,26,3,1,12,1,1,0,1,1,海野,2025/04/15,楽天,1,2025RS
H,松本 裕樹,1,22,5,1,0,2,1,0,0,0,0,海野,2025/04/15,楽天,0,2025RS
H,オスナ,1,14,3,0,0,0,0,0,0,0,0,海野,2025/04/15,楽天,0,2025RS
L,ヘルナンデス,1,27,6,2,0,0,1,0,0,1,1,嶺井,2025/04/15,楽天,0,2025RS
