position,player,avg,ab,r,h,rbi,so,walks,hbp,sac,sb,err,hr,inn1,inn2,inn3,inn4,inn5,inn6,inn7,inn8,inn9,inn10,inn11,inn12,day_of_game,vs_team,starting,series
(左),水谷 瞬,.500,4,2,2,1,1,0,1,0,0,0,1,三失,,三安,死球,,,右本,,空三振,,,,2026/03/27,ソフトバンク,1,2026RS
(一),清宮 幸太郎,.200,5,1,1,2,2,0,0,0,0,0,1,右本,,左飛,空三振,,,空三振,,三失,,,,2026/03/27,ソフトバンク,1,2026RS
走,五十幡 亮汰,-,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,2026/03/27,ソフトバンク,0,2026RS
(指),レイエス,.200,5,0,1,0,0,0,0,0,0,0,0,三ゴロ,,中飛,,二ゴロ,,中安,,中飛,,,,2026/03/27,ソフトバンク,1,2026RS
(三),郡司 裕也,.000,4,0,0,0,0,0,0,0,0,0,0,投ゴロ,,遊ゴロ,,三ゴロ,,捕邪飛,,,,,,2026/03/27,ソフトバンク,1,2026RS
(右),万波 中正,.500,4,1,2,1,1,0,0,0,0,0,1,左本,,,右安,見三振,,,二ゴロ,,,,,2026/03/27,ソフトバンク,1,2026RS
(中),矢澤 宏太,.250,4,1,1,0,1,0,0,0,1,0,0,空三振,,,遊ゴロ,,中飛,,一安,,,,,2026/03/27,ソフトバンク,1,2026RS
(遊),山縣 秀,.000,3,0,0,0,1,0,0,1,0,0,0,,二ゴロ,,空三振,,三ゴロ,,投犠打,,,,,2026/03/27,ソフトバンク,1,2026RS
(捕),田宮 裕涼,.250,4,0,1,1,1,0,0,0,0,0,0,,空三振,,右安,,右飛,,三邪飛,,,,,2026/03/27,ソフトバンク,1,2026RS
(二),水野 達稀,.250,4,0,1,0,1,0,0,0,0,0,0,,中飛,,左安,,,見三振,,中飛,,,,2026/03/27,ソフトバンク,1,2026RS
