wls,pitcher,innings,pitches,at_bats,hits,homeruns,strikeouts,walks,hit_by_pitch,balks,runs,earned_runs,catcher,day_of_game,vs_team,starting,series
,柳 裕也,6,91,25,6,0,5,1,0,0,1,1,石伊,2026/03/27,広島,1,2026RS
H,橋本 侑樹,1,14,3,0,0,2,0,0,0,0,0,石伊,2026/03/27,広島,0,2026RS
H,メヒア,1,12,3,0,0,0,0,0,0,0,0,石伊,2026/03/27,広島,0,2026RS
,アブレウ,0.1,24,6,4,0,0,1,0,0,4,4,石伊,2026/03/27,広島,0,2026RS
H,藤嶋 健人,0.2,9,2,0,0,0,0,0,0,0,0,石伊,2026/03/27,広島,0,2026RS
L,勝野 昌慶,0.2,13,5,1,0,0,2,0,0,1,1,石伊,2026/03/27,広島,0,2026RS
,櫻井 頼之介,7,101,27,3,0,9,2,0,0,1,0,石伊,2026/03/28,広島,1,2026RS
L,牧野 憲伸,1,30,6,1,0,0,2,0,0,1,1,石伊,2026/03/28,広島,0,2026RS
L,高橋 宏斗,8,104,31,6,0,9,1,0,0,1,0,石伊,2026/03/29,広島,1,2026RS
,金丸 夢斗,6,101,23,5,0,7,2,0,0,2,2,木下,2026/03/31,巨人,1,2026RS
H,橋本 侑樹,1,18,4,1,0,1,0,0,0,0,0,木下,2026/03/31,巨人,0,2026RS
H,メヒア,1,6,3,0,0,0,0,0,0,0,0,木下,2026/03/31,巨人,0,2026RS
L,藤嶋 健人,1,26,6,1,0,0,3,0,0,3,3,木下,2026/03/31,巨人,0,2026RS
L,中西 聖輝,5.1,99,25,6,1,6,1,1,0,4,4,木下,2026/04/01,巨人,1,2026RS
,近藤 廉,0.2,5,1,0,0,0,0,0,0,0,0,木下,2026/04/01,巨人,0,2026RS
,梅野 雄吾,1,21,6,2,0,2,1,0,0,2,2,木下,2026/04/01,巨人,0,2026RS
,橋本 侑樹,1,17,5,2,0,1,0,0,0,0,0,木下,2026/04/01,巨人,0,2026RS
,勝野 昌慶,1,14,3,0,0,3,0,0,0,0,0,加藤,2026/04/01,巨人,0,2026RS
W,大野 雄大,9,111,31,4,0,6,0,0,0,1,0,木下,2026/04/02,巨人,1,2026RS
W,柳 裕也,9,120,31,3,0,6,1,0,0,0,0,木下,2026/04/03,ヤクルト,1,2026RS
L,櫻井 頼之介,2.0,68,15,8,3,1,1,0,0,6,6,木下,2026/04/04,ヤクルト,1,2026RS
,牧野 憲伸,1,23,4,0,0,1,1,0,0,0,0,木下,2026/04/04,ヤクルト,0,2026RS
,梅野 雄吾,1.1,46,8,2,0,1,3,0,0,2,2,木下,2026/04/04,ヤクルト,0,2026RS
,近藤 廉,1.2,37,10,3,0,1,2,0,0,3,3,木下,2026/04/04,ヤクルト,0,2026RS
,根尾 昂,2,34,8,1,0,2,1,1,0,0,0,味谷,2026/04/04,ヤクルト,0,2026RS
,高橋 宏斗,6.0,115,27,8,0,8,3,0,0,5,3,加藤,2026/04/05,ヤクルト,1,2026RS
L,齋藤 綱記,0.0,5,1,1,0,0,0,0,0,1,1,加藤,2026/04/05,ヤクルト,0,2026RS
,勝野 昌慶,1,27,5,1,1,3,1,0,0,1,1,加藤,2026/04/05,ヤクルト,0,2026RS
,メヒア,1,4,3,0,0,0,0,0,0,0,0,加藤,2026/04/05,ヤクルト,0,2026RS
L,金丸 夢斗,5,92,25,9,0,1,1,0,0,4,4,木下,2026/04/07,DeNA,1,2026RS
,齋藤 綱記,1,15,3,0,0,1,0,0,0,0,0,木下,2026/04/07,DeNA,0,2026RS
,牧野 憲伸,1,12,3,1,0,0,0,0,0,0,0,木下,2026/04/07,DeNA,0,2026RS
,勝野 昌慶,1,19,5,1,0,1,1,0,0,1,1,加藤,2026/04/07,DeNA,0,2026RS
,中西 聖輝,5,88,23,5,1,7,3,0,0,2,2,木下,2026/04/08,DeNA,1,2026RS
H,牧野 憲伸,1,10,3,0,0,0,0,0,0,0,0,木下,2026/04/08,DeNA,0,2026RS
H,藤嶋 健人,1,7,3,0,0,0,0,0,0,0,0,木下,2026/04/08,DeNA,0,2026RS
,メヒア,1,28,7,3,0,1,1,0,0,2,2,木下,2026/04/08,DeNA,0,2026RS
H,齋藤 綱記,1,22,6,1,0,0,1,1,0,0,0,木下,2026/04/08,DeNA,0,2026RS
W,根尾 昂,1,16,3,0,0,2,0,0,0,0,0,加藤,2026/04/08,DeNA,0,2026RS
S,松山 晋也,1,22,5,0,0,1,1,0,0,0,0,加藤,2026/04/08,DeNA,0,2026RS
,柳 裕也,6,97,23,5,1,6,0,0,0,1,1,木下,2026/04/10,阪神,1,2026RS
H,メヒア,1,13,3,0,0,2,0,0,0,0,0,木下,2026/04/10,阪神,0,2026RS
H,藤嶋 健人,1,26,4,2,0,0,0,0,0,0,0,木下,2026/04/10,阪神,0,2026RS
L,松山 晋也,0.2,21,7,4,0,1,1,0,0,4,3,木下,2026/04/10,阪神,0,2026RS
,根尾 昂,0.1,10,2,1,0,0,0,0,0,0,0,木下,2026/04/10,阪神,0,2026RS
L,大野 雄大,4,69,19,5,2,1,2,1,0,4,4,木下,2026/04/11,阪神,1,2026RS
,仲地 礼亜,3,61,14,4,1,4,1,0,0,3,3,木下,2026/04/11,阪神,0,2026RS
,近藤 廉,1,17,4,0,0,2,1,0,0,0,0,味谷,2026/04/11,阪神,0,2026RS
