wls,pitcher,innings,at_bats,hits,strikeouts,walks,runs,earned_runs,catcher,day_of_game,vs_team,starting,series
W,菅　野,6,26,7,5,1,2,2,小林,2022/03/25,中日,1,2022RS
,今　村,1,4,1,0,0,0,0,小林,2022/03/25,中日,0,2022RS
,デラロサ,0.2,4,0,0,2,0,0,小林,2022/03/25,中日,0,2022RS
,高　梨,0.1,1,0,0,0,0,0,小林,2022/03/25,中日,0,2022RS
S,大　勢,1,6,2,1,1,0,0,小林,2022/03/25,中日,0,2022RS
,山崎伊,6,23,4,2,2,3,2,大城,2022/03/26,中日,1,2022RS
,鍬　原,1,4,1,0,0,0,0,大城,2022/03/26,中日,0,2022RS
,高　橋,0.2,5,0,0,2,2,0,大城,2022/03/26,中日,0,2022RS
W,畠,0.1,3,0,0,2,0,0,大城,2022/03/26,中日,0,2022RS
S,大　勢,1,3,0,2,0,0,0,大城,2022/03/26,中日,0,2022RS
,赤　星,6,23,5,5,0,1,1,大城,2022/03/27,中日,1,2022RS
,畠,1,3,0,0,0,0,0,大城,2022/03/27,中日,0,2022RS
,高　梨,0.1,4,3,1,0,2,2,大城,2022/03/27,中日,0,2022RS
,鍬　原,0.2,2,0,0,0,0,0,大城,2022/03/27,中日,0,2022RS
,デラロサ,1,7,1,3,2,2,1,大城,2022/03/27,中日,0,2022RS
L,直　江,0.2,7,2,1,3,2,2,大城,2022/03/27,中日,0,2022RS
,戸　田,0.1,1,0,0,0,0,0,大城,2022/03/27,中日,0,2022RS
W,戸　郷,7,28,6,10,2,2,2,大城,2022/03/29,ヤクルト,1,2022RS
,畠,0.2,5,2,1,1,1,1,大城,2022/03/29,ヤクルト,0,2022RS
,鍬　原,0.1,1,0,0,0,0,0,大城,2022/03/29,ヤクルト,0,2022RS
S,大　勢,1,4,1,2,0,0,0,小林,2022/03/29,ヤクルト,0,2022RS
W,メルセデス,5.1,22,2,3,4,0,0,小林,2022/03/30,ヤクルト,1,2022RS
,鍬　原,0.2,2,0,0,0,0,0,小林,2022/03/30,ヤクルト,0,2022RS
,今　村,1,3,0,1,0,0,0,小林,2022/03/30,ヤクルト,0,2022RS
,ビエイラ,0.1,3,0,0,2,1,0,小林,2022/03/30,ヤクルト,0,2022RS
,高　梨,0.1,1,0,0,0,0,0,小林,2022/03/30,ヤクルト,0,2022RS
,畠,0.1,1,0,1,0,0,0,小林,2022/03/30,ヤクルト,0,2022RS
S,大　勢,1,3,0,2,0,0,0,小林,2022/03/30,ヤクルト,0,2022RS
W,堀　田,6,21,5,2,2,0,0,大城,2022/03/31,ヤクルト,1,2022RS
,今　村,2,8,1,4,0,1,0,大城,2022/03/31,ヤクルト,0,2022RS
,ビエイラ,0.2,5,1,1,2,2,2,小林,2022/03/31,ヤクルト,0,2022RS
S,畠,0.1,1,0,0,0,0,0,小林,2022/03/31,ヤクルト,0,2022RS
