wls,pitcher,innings,pitches,at_bats,hits,homeruns,strikeouts,walks,hit_by_pitch,balks,runs,earned_runs,catcher,day_of_game,vs_team,starting,series
,小島 和哉,4,73,19,4,0,4,4,0,0,1,1,佐藤,2025/03/28,ソフトバンク,1,2025RS
W,中森 俊介,2,22,7,1,0,2,0,0,0,0,0,佐藤,2025/03/28,ソフトバンク,0,2025RS
,鈴木 昭汰,1,10,3,0,0,1,0,0,0,0,0,佐藤,2025/03/28,ソフトバンク,0,2025RS
,小野 郁,1,15,5,1,0,1,0,0,0,1,0,佐藤,2025/03/28,ソフトバンク,0,2025RS
,菊地 吏玖,1,14,4,1,0,0,0,0,0,0,0,佐藤,2025/03/28,ソフトバンク,0,2025RS
,ボス,5,96,22,8,1,5,0,0,0,4,4,田村,2025/03/29,ソフトバンク,1,2025RS
H,高野 脩汰,2,27,6,0,0,3,0,0,0,0,0,田村,2025/03/29,ソフトバンク,0,2025RS
H,横山 陸人,1,11,3,1,0,1,0,0,0,0,0,田村,2025/03/29,ソフトバンク,0,2025RS
W,ゲレーロ,1,24,4,0,0,3,1,0,0,0,0,田村,2025/03/29,ソフトバンク,0,2025RS
S,益田 直也,1,10,3,0,0,1,0,0,0,0,0,佐藤,2025/03/29,ソフトバンク,0,2025RS
,種市 篤暉,6,103,30,8,1,5,2,0,0,4,1,佐藤,2025/03/30,ソフトバンク,1,2025RS
W,木村 優人,1,13,3,0,0,1,0,0,0,0,0,佐藤,2025/03/30,ソフトバンク,0,2025RS
H,ゲレーロ,1,11,3,0,0,2,0,0,0,0,0,佐藤,2025/03/30,ソフトバンク,0,2025RS
S,鈴木 昭汰,1,26,4,1,0,1,0,0,0,0,0,佐藤,2025/03/30,ソフトバンク,0,2025RS
,西野 勇士,6,84,24,6,0,3,1,0,0,1,1,田村,2025/04/02,オリックス,1,2025RS
L,中森 俊介,2,41,9,3,1,2,0,0,0,2,2,田村,2025/04/02,オリックス,0,2025RS
,小野 郁,1,14,3,0,0,2,0,0,0,0,0,田村,2025/04/02,オリックス,0,2025RS
,石川 柊太,1.1,21,8,3,0,0,0,1,0,0,0,佐藤,2025/04/03,オリックス,1,2025RS
H,高野 脩汰,3.2,64,15,4,0,5,0,0,0,0,0,佐藤,2025/04/03,オリックス,0,2025RS
,横山 陸人,1,26,6,3,0,1,0,0,0,2,2,佐藤,2025/04/03,オリックス,0,2025RS
H,鈴木 昭汰,1,20,6,2,0,1,1,0,0,0,0,佐藤,2025/04/03,オリックス,0,2025RS
L,ゲレーロ,1,22,5,1,0,0,1,0,0,1,1,佐藤,2025/04/03,オリックス,0,2025RS
,菊地 吏玖,1,14,3,0,0,1,0,0,0,0,0,佐藤,2025/04/03,オリックス,0,2025RS
L,田中 晴也,5,91,25,9,1,7,1,0,0,2,2,寺地,2025/04/04,楽天,1,2025RS
,木村 優人,3,34,9,0,0,2,0,0,0,0,0,寺地,2025/04/04,楽天,0,2025RS
,小野 郁,1,26,7,0,0,1,3,0,0,1,0,寺地,2025/04/04,楽天,0,2025RS
W,小島 和哉,8,105,29,4,0,7,2,0,0,0,0,佐藤,2025/04/05,楽天,1,2025RS
S,ゲレーロ,1,15,4,1,0,2,0,0,0,0,0,佐藤,2025/04/05,楽天,0,2025RS
L,ボス,4,94,21,6,0,4,4,0,0,3,3,佐藤,2025/04/06,楽天,1,2025RS
,中森 俊介,3,49,12,2,0,2,1,0,0,1,1,佐藤,2025/04/06,楽天,0,2025RS
,澤村 拓一,1,14,4,0,0,0,1,0,0,0,0,佐藤,2025/04/06,楽天,0,2025RS
,菊地 吏玖,1,27,6,2,0,1,1,0,0,1,1,佐藤,2025/04/06,楽天,0,2025RS
W,種市 篤暉,7,90,25,3,0,3,3,0,0,1,1,佐藤,2025/04/08,西武,1,2025RS
,横山 陸人,1,14,3,0,0,1,0,0,0,0,0,佐藤,2025/04/08,西武,0,2025RS
,益田 直也,1,23,7,4,1,0,0,0,0,2,2,佐藤,2025/04/08,西武,0,2025RS
L,西野 勇士,6,90,25,6,0,0,1,1,0,2,2,田村,2025/04/09,西武,1,2025RS
,小野 郁,1,5,3,0,0,0,0,0,0,0,0,田村,2025/04/09,西武,0,2025RS
,菊地 吏玖,1,20,5,1,0,2,0,0,0,0,0,田村,2025/04/09,西武,0,2025RS
,石川 柊太,5,67,19,3,1,3,1,0,0,2,2,佐藤,2025/04/11,ソフトバンク,1,2025RS
,木村 優人,2,33,6,0,0,1,0,0,0,0,0,佐藤,2025/04/11,ソフトバンク,0,2025RS
,鈴木 昭汰,1,14,5,2,0,1,0,0,0,1,1,佐藤,2025/04/11,ソフトバンク,0,2025RS
,ゲレーロ,1,17,4,1,1,2,0,0,0,1,1,佐藤,2025/04/11,ソフトバンク,0,2025RS
L,小野 郁,1,14,5,2,1,2,0,0,0,1,1,田村,2025/04/11,ソフトバンク,0,2025RS
L,小島 和哉,5,92,26,9,1,3,1,1,0,7,4,佐藤,2025/04/12,ソフトバンク,1,2025RS
,澤村 拓一,1,22,6,2,0,0,1,0,0,1,1,寺地,2025/04/12,ソフトバンク,0,2025RS
,益田 直也,1,23,5,1,0,1,0,0,0,0,0,寺地,2025/04/12,ソフトバンク,0,2025RS
,横山 陸人,1,14,5,2,0,1,0,0,0,0,0,寺地,2025/04/12,ソフトバンク,0,2025RS
,菊地 吏玖,1,18,5,1,0,2,1,0,0,0,0,寺地,2025/04/12,ソフトバンク,0,2025RS
L,種市 篤暉,5.1,98,25,8,0,3,1,0,0,7,6,佐藤,2025/04/15,日本ハム,1,2025RS
,横山 陸人,0.2,12,4,1,0,0,0,0,0,1,0,佐藤,2025/04/15,日本ハム,0,2025RS
,小野 郁,1,16,4,0,0,1,1,0,0,0,0,寺地,2025/04/15,日本ハム,0,2025RS
,菊地 吏玖,2,26,7,2,1,1,0,0,0,1,1,寺地,2025/04/15,日本ハム,0,2025RS
W,田中 晴也,7,95,26,2,0,8,2,1,0,0,0,寺地,2025/04/16,日本ハム,1,2025RS
H,鈴木 昭汰,1,22,5,2,0,1,0,0,0,0,0,寺地,2025/04/16,日本ハム,0,2025RS
,中森 俊介,1,15,3,0,0,1,0,0,0,0,0,寺地,2025/04/16,日本ハム,0,2025RS
W,ボス,5.1,72,20,4,0,3,1,0,0,0,0,寺地,2025/04/18,楽天,1,2025RS
H,横山 陸人,0.2,10,2,0,0,1,0,0,0,0,0,寺地,2025/04/18,楽天,0,2025RS
H,木村 優人,1,4,3,0,0,0,0,0,0,0,0,寺地,2025/04/18,楽天,0,2025RS
,鈴木 昭汰,1,21,5,1,1,1,1,0,0,1,1,寺地,2025/04/18,楽天,0,2025RS
