wls,pitcher,innings,pitches,at_bats,hits,homeruns,strikeouts,walks,hit_by_pitch,balks,runs,earned_runs,catcher,day_of_game,vs_team,starting,series
,床田 寛樹,5,97,24,9,0,5,0,0,0,2,2,坂倉,2026/03/27,中日,1,2026RS
,齊藤 汰直,1,14,4,1,0,0,0,0,0,0,0,坂倉,2026/03/27,中日,0,2026RS
,中崎 翔太,1,28,5,1,0,3,0,1,0,0,0,坂倉,2026/03/27,中日,0,2026RS
,ハーン,1,11,5,1,0,1,1,0,0,0,0,坂倉,2026/03/27,中日,0,2026RS
,赤木 晴哉,0.1,29,6,4,0,0,1,0,0,3,3,坂倉,2026/03/27,中日,0,2026RS
,辻 大雅,0.2,16,3,0,0,1,1,0,0,0,0,坂倉,2026/03/27,中日,0,2026RS
W,森浦 大輔,1,8,4,1,0,0,0,0,0,0,0,坂倉,2026/03/27,中日,0,2026RS
,ターノック,7,94,25,5,0,7,0,0,0,0,0,坂倉,2026/03/28,中日,1,2026RS
,島内 颯太郎,0.2,17,4,1,0,1,1,0,0,1,1,坂倉,2026/03/28,中日,0,2026RS
W,ハーン,0.1,6,1,0,0,0,0,0,0,0,0,坂倉,2026/03/28,中日,0,2026RS
S,森浦 大輔,1,16,4,1,0,1,0,0,0,0,0,坂倉,2026/03/28,中日,0,2026RS
W,栗林 良吏,9,95,28,1,0,9,0,0,0,0,0,坂倉,2026/03/29,中日,1,2026RS
L,森下 暢仁,4,70,18,3,1,5,1,1,0,3,2,坂倉,2026/03/31,ヤクルト,1,2026RS
,鈴木 健矢,1,22,8,4,1,1,1,0,0,3,3,坂倉,2026/03/31,ヤクルト,0,2026RS
,辻 大雅,1,20,4,0,0,0,1,0,0,0,0,坂倉,2026/03/31,ヤクルト,0,2026RS
,島内 颯太郎,1,18,5,1,0,1,1,0,0,0,0,坂倉,2026/03/31,ヤクルト,0,2026RS
,益田 武尚,1,29,8,4,0,1,1,0,0,2,2,坂倉,2026/03/31,ヤクルト,0,2026RS
,岡本 駿,7,101,26,3,0,4,2,0,0,0,0,坂倉,2026/04/02,ヤクルト,1,2026RS
H,ハーン,1,14,3,0,0,2,0,0,0,0,0,石原,2026/04/02,ヤクルト,0,2026RS
L,森浦 大輔,0.2,24,5,2,0,0,1,0,0,2,2,石原,2026/04/02,ヤクルト,0,2026RS
L,床田 寛樹,6,114,26,6,0,9,2,0,0,2,2,坂倉,2026/04/03,阪神,1,2026RS
,齊藤 汰直,1,27,6,3,0,0,1,0,0,2,2,坂倉,2026/04/03,阪神,0,2026RS
,辻 大雅,1,13,4,0,0,0,1,0,0,0,0,坂倉,2026/04/03,阪神,0,2026RS
,赤木 晴哉,1,17,5,2,0,1,0,0,0,0,0,坂倉,2026/04/03,阪神,0,2026RS
