o_team,runner,d_team,catcher,pitcher,day_of_game,stolen_bases,caught_stealing,series
中日,岡林,巨人,大城,高梨,2023-03-31,1,0,2023RS
広島,西川,巨人,大城,大江,2023-04-09,1,0,2023RS
阪神,佐藤輝,巨人,大城,メンデス,2023-04-12,1,0,2023RS
阪神,熊谷,巨人,大城,大勢,2023-04-12,1,0,2023RS
阪神,近本,巨人,大城,高梨,2023-04-12,1,0,2023RS
阪神,植田,巨人,大城,高梨,2023-04-12,1,0,2023RS
中日,岡林,巨人,小林,ビーディ,2023-04-14,1,0,2023RS
中日,岡林,巨人,小林,代木,2023-04-14,1,0,2023RS
中日,岡林,巨人,大城,グリフィン,2023-04-15,1,0,2023RS
ヤクルト,濱田,巨人,大城,ビーディ,2023-04-21,1,0,2023RS
ヤクルト,青木,巨人,大城,ビーディ,2023-04-21,1,0,2023RS
広島,菊池,巨人,大城,大勢,2023-04-28,1,0,2023RS
広島,野間,巨人,大城,大勢,2023-04-28,1,0,2023RS
広島,田中,巨人,大城,田中,2023-04-29,0,1,2023RS
広島,上本,巨人,大城,ビーディ,2023-04-30,1,0,2023RS
ヤクルト,武岡,巨人,大城,高梨,2023-05-03,1,0,2023RS
中日,高松,巨人,大城,三上,2023-05-06,1,0,2023RS
中日,岡林,巨人,大城,赤星,2023-05-07,0,1,2023RS
広島,西川,巨人,大城,横川,2023-05-12,0,1,2023RS
広島,羽月,巨人,大城,大勢,2023-05-13,1,0,2023RS
ヤクルト,塩見,巨人,大城,戸郷,2023-05-16,0,1,2023RS
ヤクルト,山崎,巨人,大城,大勢,2023-05-16,0,1,2023RS
ヤクルト,塩見,巨人,大城,山崎,2023-05-17,0,1,2023RS
ヤクルト,サンタナ,巨人,大城,横川,2023-05-18,1,0,2023RS
中日,鵜飼,巨人,大城,中川,2023-05-21,0,1,2023RS
DeNA,京田,巨人,大城,戸郷,2023-05-24,0,1,2023RS
DeNA,ソト,巨人,大城,田中,2023-05-25,0,1,2023RS
ロッテ,和田,巨人,大城,平内,2023-05-30,0,1,2023RS
ロッテ,中村奨,巨人,大城,山崎,2023-06-01,1,0,2023RS
ロッテ,藤岡,巨人,大城,山崎,2023-06-01,0,1,2023RS
日本ハム,アルカンタラ,巨人,大城,横川,2023-06-02,1,0,2023RS
日本ハム,上川畑,巨人,---,横川,2023-06-02,1,0,2023RS
日本ハム,万波,巨人,大城,横川,2023-06-02,1,0,2023RS
