position,player,avg,ab,r,h,rbi,so,walks,hbp,sac,sb,err,hr,inn1,inn2,inn3,inn4,inn5,inn6,inn7,inn8,inn9,inn10,inn11,inn12,day_of_game,vs_team,starting,series
(中),周東 佑京,.000,4,0,0,0,1,1,0,0,0,0,0,中飛,,左飛,見三振,,遊飛,,四球,,,,,2026/03/27,日本ハム,1,2026RS
(右),近藤 健介,.333,3,1,1,1,0,2,0,0,0,0,1,右飛,,右本,,中飛,,四球,四球,,,,,2026/03/27,日本ハム,1,2026RS
(左),柳町 達,.250,4,0,1,0,0,0,0,1,0,0,0,右安,,一ゴロ,,中飛,,捕犠打,投ゴロ,,,,,2026/03/27,日本ハム,1,2026RS
(指),柳田 悠岐,.250,4,0,1,0,2,0,0,0,0,0,0,見三振,,中飛,,右安,,見三振,,,,,,2026/03/27,日本ハム,1,2026RS
(一),山川 穂高,.250,4,1,1,1,2,0,0,0,0,0,1,,左飛,,左中本,空三振,,空三振,,,,,,2026/03/27,日本ハム,1,2026RS
(遊),今宮 健太,.333,3,1,1,0,1,0,0,0,0,0,0,,左安,,遊飛,,空三振,,,,,,,2026/03/27,日本ハム,1,2026RS
打遊,野村 勇,1.000,1,1,1,0,0,0,0,0,0,0,0,,,,,,,,中安,,,,,2026/03/27,日本ハム,0,2026RS
(三),栗原 陵矢,.500,4,1,2,2,1,0,0,0,0,2,1,,左中本,,中安,,中飛,,空三振,,,,,2026/03/27,日本ハム,1,2026RS
(捕),海野 隆司,.667,3,1,2,0,0,0,0,1,0,0,0,,右飛,,捕犠野,,左２,,右安,,,,,2026/03/27,日本ハム,1,2026RS
(二),牧原 大成,.333,3,0,1,2,0,0,0,0,0,0,0,,中飛,,中飛,,中２,,右犠飛,,,,,2026/03/27,日本ハム,1,2026RS
(中),周東 佑京,.000,3,1,0,0,0,0,1,0,0,0,0,右飛,,,遊ゴロ,死球,三邪飛,,,,,,,2026/03/28,日本ハム,1,2026RS
(右),近藤 健介,.429,4,1,2,3,1,0,0,0,0,0,0,見三振,,,左２,中２,,二ゴロ,,,,,,2026/03/28,日本ハム,1,2026RS
(左),柳町 達,.286,3,1,1,1,0,1,0,0,0,0,0,一ゴロ,,,四球,中安,,二直,,,,,,2026/03/28,日本ハム,1,2026RS
(指),柳田 悠岐,.250,4,0,1,0,1,0,0,0,0,0,0,,右飛,,空三振,中安,,二飛,,,,,,2026/03/28,日本ハム,1,2026RS
(一),山川 穂高,.375,4,1,2,2,1,0,0,0,0,0,1,,空三振,,遊ゴロ,左安,,,左中本,,,,,2026/03/28,日本ハム,1,2026RS
(遊),今宮 健太,.143,4,0,0,0,0,0,0,0,0,1,0,,遊ゴロ,,,二ゴロ 捕邪飛,,,三ゴロ,,,,,2026/03/28,日本ハム,1,2026RS
(三),栗原 陵矢,.286,3,1,0,0,0,1,0,0,0,0,0,,,左飛,,四球,二ゴロ,,二ゴロ,,,,,2026/03/28,日本ハム,1,2026RS
(捕),海野 隆司,.429,4,0,1,0,1,0,0,0,0,0,0,,,見三振,,右安,左飛,,中飛,,,,,2026/03/28,日本ハム,1,2026RS
(二),牧原 大成,.333,3,1,1,0,0,0,0,0,0,0,0,,,左飛,,遊ゴロ,右安,,,,,,,2026/03/28,日本ハム,1,2026RS
(中),周東 佑京,.091,4,1,1,1,1,1,0,0,0,0,0,右安,二ゴロ,,二ゴロ,,見三振,,四球,,,,,2026/03/29,日本ハム,1,2026RS
