position,player,avg,ab,r,h,rbi,so,walks,hbp,sac,sb,err,hr,inn1,inn2,inn3,inn4,inn5,inn6,inn7,inn8,inn9,inn10,inn11,inn12,day_of_game,vs_team,starting,series
(右),長谷川 信哉,.000,4,0,0,0,0,0,0,0,0,0,0,中飛,,,中飛,,三ゴロ,,左飛,,,,,2025/03/28,日本ハム,1,2025RS
(中),西川 愛也,.750,4,0,3,0,0,0,0,0,1,0,0,左飛,,,右安,,右安,,,右安,,,,2025/03/28,日本ハム,1,2025RS
(一),ネビン,.250,4,0,1,0,1,0,0,0,0,0,0,三ゴロ,,,左安,,空三振,,,三直,,,,2025/03/28,日本ハム,1,2025RS
(指),セデーニョ,.000,4,0,0,0,1,0,0,0,0,0,0,,左飛,,空三振,,,左飛,,三併打,,,,2025/03/28,日本ハム,1,2025RS
(左),渡部 聖弥,.667,3,0,2,0,0,0,0,0,0,0,0,,三ゴロ,,,左安,,中安,,,,,,2025/03/28,日本ハム,1,2025RS
(三),外崎 修汰,.000,2,0,0,0,1,0,0,1,0,0,0,,見三振,,,投犠打,,三ゴロ,,,,,,2025/03/28,日本ハム,1,2025RS
(遊),源田 壮亮,.000,3,0,0,0,0,0,0,0,0,0,0,,,中飛,,右飛,,,二直,,,,,2025/03/28,日本ハム,1,2025RS
(捕),古賀 悠斗,.000,3,0,0,0,1,0,0,0,0,0,0,,,三ゴロ,,空三振,,,投ゴロ,,,,,2025/03/28,日本ハム,1,2025RS
(二),元山 飛優,.000,2,0,0,0,0,0,0,0,0,0,0,,,遊ゴロ,,,一ゴロ,,,,,,,2025/03/28,日本ハム,1,2025RS
打,中村 剛也,-,0,0,0,0,0,1,0,0,0,0,0,,,,,,,,四球,,,,,2025/03/28,日本ハム,0,2025RS
走二,滝澤 夏央,-,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,2025/03/28,日本ハム,0,2025RS
(右),長谷川 信哉,.111,5,0,1,0,0,0,0,0,1,0,0,捕邪飛,,三安,,遊ゴロ,,捕邪飛,,一飛,,,,2025/03/29,日本ハム,1,2025RS
