wls,pitcher,innings,pitches,at_bats,hits,homeruns,strikeouts,walks,hit_by_pitch,balks,runs,earned_runs,catcher,day_of_game,vs_team,starting,series
L,森下 暢仁,7,114,27,4,1,6,3,0,0,2,2,會澤,2025/03/28,阪神,1,2025RS
,塹江 敦哉,0.2,29,6,3,0,1,1,0,0,2,2,會澤,2025/03/28,阪神,0,2025RS
,中崎 翔太,0.1,6,1,0,0,1,0,0,0,0,0,會澤,2025/03/28,阪神,0,2025RS
,岡本 駿,1,14,4,1,0,1,0,0,0,0,0,石原,2025/03/28,阪神,0,2025RS
L,床田 寛樹,7,93,29,7,1,4,1,0,0,3,3,石原,2025/03/29,阪神,1,2025RS
,森浦 大輔,1,22,5,2,0,1,0,0,0,0,0,石原,2025/03/29,阪神,0,2025RS
,島内 颯太郎,1,12,3,0,0,1,0,0,0,0,0,會澤,2025/03/29,阪神,0,2025RS
W,森 翔平,7.0,92,25,2,0,5,2,1,0,0,0,石原,2025/03/30,阪神,1,2025RS
H,ハーン,1,13,3,0,0,1,0,0,0,0,0,石原,2025/03/30,阪神,0,2025RS
S,栗林 良吏,1,11,3,0,0,1,0,0,0,0,0,石原,2025/03/30,阪神,0,2025RS
,大瀬良 大地,5,90,22,5,0,3,2,0,0,1,1,會澤,2025/04/02,ヤクルト,1,2025RS
H,島内 颯太郎,1,11,4,0,0,0,1,0,0,0,0,會澤,2025/04/02,ヤクルト,0,2025RS
H,森浦 大輔,1,18,3,0,0,0,0,0,0,0,0,會澤,2025/04/02,ヤクルト,0,2025RS
,ハーン,1,27,7,3,0,1,1,0,0,3,3,會澤,2025/04/02,ヤクルト,0,2025RS
H,栗林 良吏,1,12,3,0,0,1,0,0,0,0,0,會澤,2025/04/02,ヤクルト,0,2025RS
L,塹江 敦哉,0.1,15,4,2,0,0,1,0,0,1,1,會澤,2025/04/02,ヤクルト,0,2025RS
L,玉村 昇悟,5,75,21,5,0,3,1,0,0,2,2,石原,2025/04/03,ヤクルト,1,2025RS
,鈴木 健矢,2,25,9,2,0,0,1,0,0,1,1,石原,2025/04/03,ヤクルト,0,2025RS
,岡本 駿,1,10,3,0,0,1,0,0,0,0,0,石原,2025/04/03,ヤクルト,0,2025RS
W,森下 暢仁,8,108,29,4,1,3,0,0,0,2,0,會澤,2025/04/04,DeNA,1,2025RS
,中崎 翔太,1,11,3,1,0,0,0,0,0,0,0,會澤,2025/04/04,DeNA,0,2025RS
,床田 寛樹,7,106,27,6,0,4,0,0,0,2,2,石原,2025/04/05,DeNA,1,2025RS
H,ハーン,1,13,3,1,0,0,0,0,0,0,0,石原,2025/04/05,DeNA,0,2025RS
,栗林 良吏,0.1,26,6,3,0,1,2,0,0,5,5,石原,2025/04/05,DeNA,0,2025RS
H,塹江 敦哉,0.1,6,1,0,0,1,0,0,0,0,0,石原,2025/04/05,DeNA,0,2025RS
,島内 颯太郎,0.1,18,3,1,0,0,1,0,0,0,0,石原,2025/04/05,DeNA,0,2025RS
W,森浦 大輔,2,29,6,0,0,5,0,0,0,0,0,會澤,2025/04/05,DeNA,0,2025RS
W,森 翔平,5.2,88,23,5,0,5,2,0,0,3,3,石原,2025/04/06,DeNA,1,2025RS
H,森浦 大輔,0.1,1,1,0,0,0,0,0,0,0,0,石原,2025/04/06,DeNA,0,2025RS
H,島内 颯太郎,1,9,3,0,0,2,0,0,0,0,0,石原,2025/04/06,DeNA,0,2025RS
H,ハーン,1,16,6,3,0,1,0,0,0,1,1,石原,2025/04/06,DeNA,0,2025RS
S,栗林 良吏,1,17,5,2,0,1,0,0,0,2,2,石原,2025/04/06,DeNA,0,2025RS
,ドミンゲス,6,97,24,1,0,2,5,0,0,1,1,石原,2025/04/08,中日,1,2025RS
H,島内 颯太郎,1,10,3,0,0,1,0,0,0,0,0,石原,2025/04/08,中日,0,2025RS
H,ハーン,1,16,4,1,0,3,0,0,0,0,0,石原,2025/04/08,中日,0,2025RS
H,栗林 良吏,1,14,3,0,0,1,0,0,0,0,0,石原,2025/04/08,中日,0,2025RS
H,塹江 敦哉,1,13,3,0,0,3,0,0,0,0,0,石原,2025/04/08,中日,0,2025RS
H,森浦 大輔,1,10,3,0,0,2,0,0,0,0,0,石原,2025/04/08,中日,0,2025RS
,岡本 駿,1,18,5,1,0,1,1,0,0,0,0,石原,2025/04/08,中日,0,2025RS
,大瀬良 大地,6,84,22,5,0,4,0,0,0,1,1,會澤,2025/04/09,中日,1,2025RS
,鈴木 健矢,1,9,3,0,0,2,0,0,0,0,0,石原,2025/04/09,中日,0,2025RS
L,ハーン,1,22,5,2,0,0,1,0,0,2,2,石原,2025/04/09,中日,0,2025RS
,玉村 昇悟,7,86,24,5,0,7,0,0,0,1,1,石原,2025/04/10,中日,1,2025RS
H,島内 颯太郎,1,13,3,0,0,2,0,0,0,0,0,石原,2025/04/10,中日,0,2025RS
H,森浦 大輔,1,9,3,0,0,1,0,0,0,0,0,石原,2025/04/10,中日,0,2025RS
W,栗林 良吏,1,24,6,1,0,3,2,0,0,0,0,石原,2025/04/10,中日,0,2025RS
S,塹江 敦哉,1,11,4,1,0,2,0,0,0,0,0,會澤,2025/04/10,中日,0,2025RS
W,森下 暢仁,6,95,24,4,0,8,0,1,0,3,2,會澤,2025/04/11,巨人,1,2025RS
,中崎 翔太,1,14,3,0,0,2,0,0,0,0,0,磯村,2025/04/11,巨人,0,2025RS
,鈴木 健矢,1,8,3,0,0,0,0,0,0,0,0,磯村,2025/04/11,巨人,0,2025RS
,岡本 駿,1,11,3,0,0,1,0,0,0,0,0,磯村,2025/04/11,巨人,0,2025RS
W,床田 寛樹,9,123,38,8,0,7,3,0,0,0,0,石原,2025/04/12,巨人,1,2025RS
W,森 翔平,6,107,25,5,0,2,3,0,0,1,1,石原,2025/04/13,巨人,1,2025RS
,島内 颯太郎,0.2,19,5,1,0,0,1,0,0,2,0,石原,2025/04/13,巨人,0,2025RS
H,森浦 大輔,0.1,6,2,0,0,0,1,0,0,0,0,石原,2025/04/13,巨人,0,2025RS
H,ハーン,1,23,6,2,0,2,1,0,0,0,0,石原,2025/04/13,巨人,0,2025RS
S,栗林 良吏,1,9,3,1,0,0,0,0,0,0,0,石原,2025/04/13,巨人,0,2025RS
W,ドミンゲス,5,95,21,3,0,6,2,0,0,1,1,石原,2025/04/15,中日,1,2025RS
,塹江 敦哉,1,16,6,2,0,2,0,1,0,0,0,石原,2025/04/15,中日,0,2025RS
,中崎 翔太,1,14,3,0,0,1,0,0,0,0,0,石原,2025/04/15,中日,0,2025RS
,鈴木 健矢,1,8,3,1,0,0,0,0,0,0,0,石原,2025/04/15,中日,0,2025RS
,岡本 駿,1,14,3,0,0,2,0,0,0,0,0,石原,2025/04/15,中日,0,2025RS
L,大瀬良 大地,8,116,30,4,0,5,2,0,0,2,2,會澤,2025/04/16,中日,1,2025RS
,塹江 敦哉,1,27,5,0,0,1,2,0,0,0,0,石原,2025/04/16,中日,0,2025RS
W,森下 暢仁,9,124,33,4,0,5,3,0,0,2,2,會澤,2025/04/18,阪神,1,2025RS
W,床田 寛樹,7,111,28,6,0,3,2,0,0,0,0,石原,2025/04/19,阪神,1,2025RS
H,ハーン,1,17,5,2,0,0,0,0,0,0,0,石原,2025/04/19,阪神,0,2025RS
S,栗林 良吏,1,8,3,0,0,1,0,0,0,0,0,石原,2025/04/19,阪神,0,2025RS
L,森 翔平,4,62,18,6,1,2,1,0,0,3,3,石原,2025/04/20,阪神,1,2025RS
,鈴木 健矢,1,20,6,3,1,0,0,0,0,3,3,石原,2025/04/20,阪神,0,2025RS
,中崎 翔太,1,14,3,0,0,1,0,0,0,0,0,石原,2025/04/20,阪神,0,2025RS
,塹江 敦哉,1,14,3,0,0,0,0,0,0,0,0,石原,2025/04/20,阪神,0,2025RS
,岡本 駿,0.1,16,4,2,0,0,0,1,0,2,2,石原,2025/04/20,阪神,0,2025RS
,島内 颯太郎,0.2,12,3,1,0,0,0,0,0,0,0,石原,2025/04/20,阪神,0,2025RS
W,大瀬良 大地,7,110,29,6,0,6,2,0,0,1,1,會澤,2025/04/23,ヤクルト,1,2025RS
