wls,pitcher,innings,pitches,at_bats,hits,homeruns,strikeouts,walks,hit_by_pitch,balks,runs,earned_runs,catcher,day_of_game,vs_team,starting,series
W,東 克樹,7,93,25,4,0,5,0,0,0,0,0,山本,2025/03/28,中日,1,2025RS
,山崎 康晃,1,9,3,0,0,1,0,0,0,0,0,山本,2025/03/28,中日,0,2025RS
,入江 大生,1,21,4,0,0,3,1,0,0,0,0,山本,2025/03/28,中日,0,2025RS
L,バウアー,6,98,25,6,0,8,2,0,0,1,1,山本,2025/03/29,中日,1,2025RS
,中川 虎大,1,13,4,1,0,0,0,0,0,0,0,山本,2025/03/29,中日,0,2025RS
,颯,1,17,6,2,0,1,1,0,0,0,0,山本,2025/03/29,中日,0,2025RS
,佐々木 千隼,1,8,4,1,0,0,0,0,0,0,0,戸柱,2025/03/29,中日,0,2025RS
W,平良 拳太郎,5,87,20,4,0,2,1,0,0,0,0,松尾,2025/03/30,中日,1,2025RS
H,石田 裕太郎,2.1,37,10,2,0,2,1,0,0,1,1,松尾,2025/03/30,中日,0,2025RS
H,伊勢 大夢,0.2,11,2,0,0,1,0,0,0,0,0,松尾,2025/03/30,中日,0,2025RS
S,入江 大生,1,20,4,0,0,1,1,0,0,0,0,山本,2025/03/30,中日,0,2025RS
W,ジャクソン,7,102,27,3,0,9,2,1,0,1,1,山本,2025/04/01,阪神,1,2025RS
H,伊勢 大夢,1,22,5,2,0,1,0,0,0,0,0,山本,2025/04/01,阪神,0,2025RS
,山崎 康晃,1,11,3,0,0,2,0,0,0,0,0,山本,2025/04/01,阪神,0,2025RS
