o_team,runner,d_team,catcher,pitcher,day_of_game,stolen_bases,caught_stealing,series
中日,尾田,巨人,---,山崎伊,2024-04-02,1,0,2024RS
DeNA,牧,巨人,大城,戸郷,2024-04-05,1,0,2024RS
ヤクルト,村上,巨人,大城,山崎,2024-04-09,0,1,2024RS
広島,坂倉,巨人,岸田,泉,2024-04-12,1,0,2024RS
広島,田中,巨人,---,井上,2024-04-13,0,1,2024RS
広島,堂林,巨人,---,高橋礼,2024-04-14,0,1,2024RS
広島,矢野,巨人,小林,高橋礼,2024-04-14,1,0,2024RS
阪神,大山,巨人,岸田,赤星,2024-04-17,0,1,2024RS
阪神,近本,巨人,小林,菅野,2024-04-18,1,0,2024RS
広島,小園,巨人,小林,戸郷,2024-04-19,0,1,2024RS
広島,羽月,巨人,---,横川,2024-04-19,0,1,2024RS
広島,田中,巨人,小林,高橋礼,2024-04-21,1,0,2024RS
DeNA,桑原,巨人,大城,横川,2024-04-27,1,0,2024RS
阪神,植田,巨人,---,バルドナード,2024-05-04,0,1,2024RS
阪神,中野,巨人,小林,高橋礼,2024-05-05,1,0,2024RS
中日,山本,巨人,小林,京本,2024-05-06,0,1,2024RS
ヤクルト,丸山和,巨人,小林,菅野,2024-05-11,1,0,2024RS
ヤクルト,西川,巨人,小林,平内,2024-05-12,1,0,2024RS
DeNA,蝦名,巨人,岸田,堀田,2024-05-15,0,1,2024RS
広島,羽月,巨人,岸田,井上,2024-05-17,0,1,2024RS
中日,福永,巨人,岸田,バルドナード,2024-05-21,1,0,2024RS
中日,村松,巨人,岸田,馬場,2024-05-22,1,0,2024RS
阪神,中野,巨人,岸田,赤星,2024-05-25,0,1,2024RS
ソフトバンク,甲斐,巨人,岸田,高橋礼,2024-05-30,1,0,2024RS
西武,滝澤,巨人,小林,又木,2024-06-01,1,0,2024RS
ロッテ,高部,巨人,岸田,堀田,2024-06-05,0,1,2024RS
ロッテ,高部,巨人,岸田,泉,2024-06-05,1,0,2024RS
オリックス,西川,巨人,大城,グリフィン,2024-06-08,1,0,2024RS
オリックス,来田,巨人,小林,菅野,2024-06-09,0,1,2024RS
楽天,小深田,巨人,岸田,堀田,2024-06-12,1,0,2024RS
楽天,辰巳,巨人,岸田,堀田,2024-06-12,1,0,2024RS
楽天,太田,巨人,岸田,大江,2024-06-12,1,0,2024RS
楽天,小郷,巨人,岸田,井上,2024-06-13,0,1,2024RS
楽天,小深田,巨人,岸田,船迫,2024-06-13,1,0,2024RS
日本ハム,松本剛,巨人,小林,菅野,2024-06-16,1,0,2024RS
ヤクルト,並木,巨人,岸田,平内,2024-06-22,1,0,2024RS
広島,秋山,巨人,岸田,グリフィン,2024-06-29,1,0,2024RS
広島,矢野,巨人,岸田,グリフィン,2024-06-29,0,1,2024RS
中日,田中,巨人,岸田,山崎,2024-07-02,0,1,2024RS
ヤクルト,オスナ,巨人,岸田,グリフィン,2024-07-06,0,1,2024RS
DeNA,京田,巨人,岸田,グリフィン,2024-07-13,1,0,2024RS
DeNA,梶原,巨人,小林,菅野,2024-07-14,1,0,2024RS
阪神,佐藤輝,巨人,岸田,赤星,2024-07-15,0,1,2024RS
阪神,小幡,巨人,岸田,赤星,2024-07-15,0,1,2024RS
阪神,大山,巨人,岸田,泉,2024-07-17,0,1,2024RS
阪神,中野,巨人,岸田,山崎,2024-07-30,0,1,2024RS
阪神,近本,巨人,岸田,伊藤,2024-07-30,0,1,2024RS
阪神,森下,巨人,岸田,平内,2024-07-31,0,1,2024RS
阪神,近本,巨人,岸田,戸郷,2024-08-01,1,0,2024RS
ヤクルト,西川,巨人,岸田,平内,2024-08-02,1,0,2024RS
ヤクルト,長岡,巨人,岸田,伊藤,2024-08-02,0,1,2024RS
ヤクルト,岩田,巨人,小林,菅野,2024-08-04,1,0,2024RS
広島,羽月,巨人,岸田,ケラー,2024-08-07,1,0,2024RS
広島,秋山,巨人,大城,戸郷,2024-08-08,0,1,2024RS
広島,坂倉,巨人,大城,戸郷,2024-08-08,0,1,2024RS
中日,福永,巨人,岸田,高橋礼,2024-08-09,1,0,2024RS
中日,岡林,巨人,---,又木,2024-08-09,0,1,2024RS
中日,田中,巨人,小林,大勢,2024-08-11,1,0,2024RS
DeNA,梶原,巨人,大城,井上,2024-08-17,0,1,2024RS
DeNA,林,巨人,小林,菅野,2024-08-18,1,0,2024RS
広島,小園,巨人,岸田,グリフィン,2024-08-21,0,1,2024RS
広島,羽月,巨人,岸田,バルドナード,2024-08-21,0,1,2024RS
中日,岡林,巨人,小林,菅野,2024-08-25,1,0,2024RS
ヤクルト,岩田,巨人,岸田,山崎 伊織,2024-09-03,1,0,2024RS
ヤクルト,並木,巨人,大城,船迫 大雅,2024-09-04,1,0,2024RS
DeNA,桑原,巨人,大城,高梨 雄平,2024-09-07,1,0,2024RS
広島,小園,巨人,岸田,グリフィン,2024-09-11,1,0,2024RS
ヤクルト,山田,巨人,岸田,横川 凱,2024-09-13,1,0,2024RS
中日,岡林,巨人,小林,菅野 智之,2024-09-15,0,1,2024RS
中日,岡林,巨人,岸田,赤星 優志,2024-09-16,0,1,2024RS
広島,羽月,巨人,岸田,高梨 雄平,2024-09-21,1,0,2024RS
阪神,植田,巨人,岸田,大勢,2024-09-23,1,0,2024RS
DeNA,梶原,巨人,大城,戸郷 翔征,2024-09-25,1,0,2024RS
広島,小園,巨人,小林,菅野 智之,2024-09-28,1,0,2024RS
ヤクルト,村上,巨人,山瀬,グリフィン,2024-09-29,1,0,2024RS
DeNA,林,巨人,大城,大勢,2024-10-02,1,0,2024RS
