position,player,avg,ab,r,h,rbi,so,walks,hbp,sac,sb,err,hr,inn1,inn2,inn3,inn4,inn5,inn6,inn7,inn8,inn9,inn10,inn11,inn12,day_of_game,vs_team,starting,series
(左),キャベッジ,.500,4,1,2,1,2,0,0,0,0,0,1,右本,,見三振,,,空三振,,右安,,,,,2026/03/27,阪神,1,2026RS
投,田中 瑛斗,-,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,2026/03/27,阪神,0,2026RS
(中),松本 剛,.333,3,1,1,0,0,1,0,0,0,0,0,四球,,投ゴロ,,,中安,,二ゴロ,,,,,2026/03/27,阪神,1,2026RS
(遊),泉口 友汰,.667,3,0,2,0,0,0,0,0,0,0,0,右安,,,投ゴロ,,中２,,,,,,,2026/03/27,阪神,1,2026RS
(一),ダルベック,.333,3,1,1,1,1,0,0,0,0,0,1,遊併打,,,中本,,空三振,,,,,,,2026/03/27,阪神,1,2026RS
(捕),岸田 行倫,.000,3,0,0,0,1,0,0,0,0,0,0,中飛,,,空三振,,一邪飛,,,,,,,2026/03/27,阪神,1,2026RS
(右),中山 礼都,.000,3,0,0,0,0,0,0,0,0,0,0,,左飛,,一ゴロ,,,右飛,,,,,,2026/03/27,阪神,1,2026RS
(三),坂本 勇人,.000,2,0,0,0,0,1,0,0,0,0,0,,四球,,,左飛,,中飛,,,,,,2026/03/27,阪神,1,2026RS
(二),浦田 俊輔,.000,3,0,0,0,1,0,0,0,0,0,0,,投併打,,,空三振,,遊ゴロ,,,,,,2026/03/27,阪神,1,2026RS
(投),竹丸 和幸,.000,2,0,0,0,2,0,0,0,0,0,0,,,空三振,,空三振,,,,,,,,2026/03/27,阪神,1,2026RS
投,船迫 大雅,-,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,2026/03/27,阪神,0,2026RS
投,北浦 竜次,-,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,2026/03/27,阪神,0,2026RS
打左,佐々木 俊輔,.000,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,一ゴロ,,,,,2026/03/27,阪神,0,2026RS
(左),キャベッジ,.375,4,0,1,0,0,0,0,0,0,0,0,三ゴロ,,,二ゴロ,,中飛,,,左安,,,,2026/03/28,阪神,1,2026RS
(中),松本 剛,.143,4,0,0,0,0,0,0,0,0,0,0,二直,,,中飛,,遊直,,,遊ゴロ,,,,2026/03/28,阪神,1,2026RS
(遊),泉口 友汰,.333,3,0,0,0,0,1,0,0,0,0,0,一ゴロ,,,右飛,,,一ゴロ,,四球,,,,2026/03/28,阪神,1,2026RS
走,門脇 誠,-,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,2026/03/28,阪神,0,2026RS
(一),ダルベック,.143,4,0,0,0,2,0,0,0,0,0,0,,見三振,,,空三振,,右飛,,三ゴロ,,,,2026/03/28,阪神,1,2026RS
(捕),岸田 行倫,.167,3,0,1,0,1,1,0,0,0,1,0,,中飛,,,投安,,四球,,空三振,,,,2026/03/28,阪神,1,2026RS
(三),坂本 勇人,.200,3,0,1,0,0,0,0,0,0,0,0,,二ゴロ,,,中安,,三ゴロ,,,,,,2026/03/28,阪神,1,2026RS
(二),増田 陸,.000,3,0,0,0,2,0,0,0,0,0,0,,,二飛,,空三振,,,見三振,,,,,2026/03/28,阪神,1,2026RS
