position,player,avg,ab,r,h,rbi,so,walks,hbp,sac,sb,err,hr,inn1,inn2,inn3,inn4,inn5,inn6,inn7,inn8,inn9,inn10,inn11,inn12,day_of_game,vs_team,starting,series
(左),西川 史礁,.250,4,1,1,1,1,0,0,0,0,0,0,右飛,,,二ゴロ,,左安,空三振,,,,,,2025/03/28,ソフトバンク,1,2025RS
左,和田 康士朗,-,0,0,0,0,0,1,0,0,0,0,0,,,,,,,,,四球,,,,2025/03/28,ソフトバンク,0,2025RS
(二),藤岡 裕大,.000,4,0,0,0,1,0,0,1,0,0,0,一ゴロ,,,二ゴロ,,捕犠打,一ゴロ,,空三振,,,,2025/03/28,ソフトバンク,1,2025RS
遊,友杉 篤輝,-,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,2025/03/28,ソフトバンク,0,2025RS
(右),藤原 恭大,.400,5,2,2,2,0,0,0,0,0,0,0,二ゴロ,,,中飛,,右安,,左２,中飛,,,,2025/03/28,ソフトバンク,1,2025RS
(指),ポランコ,.400,5,0,2,1,1,0,0,0,0,0,0,,右飛,,,空三振,右飛,,中安,右安,,,,2025/03/28,ソフトバンク,1,2025RS
(捕),佐藤 都志也,.250,4,1,1,2,0,0,1,0,0,0,1,,遊ゴロ,,,中飛,右本,,左飛,死球,,,,2025/03/28,ソフトバンク,1,2025RS
(一),ソト,.000,4,0,0,0,1,0,0,0,0,0,0,,右飛,,,見三振,捕邪飛,,中飛,,,,,2025/03/28,ソフトバンク,1,2025RS
一,安田 尚憲,.000,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,三飛,,,,2025/03/28,ソフトバンク,0,2025RS
(中),髙部 瑛斗,.750,4,2,3,0,0,0,0,0,1,0,0,,,中飛,,,中２,中安,遊安,,,,,2025/03/28,ソフトバンク,1,2025RS
(三),上田 希由翔,.333,3,1,1,0,0,1,0,0,0,0,0,,,二ゴロ,,,右２,一ゴロ,四球,,,,,2025/03/28,ソフトバンク,1,2025RS
(遊二),小川 龍成,.500,4,1,2,2,0,0,0,0,1,1,0,,,投ゴロ,,,左安,右安,中飛,,,,,2025/03/28,ソフトバンク,1,2025RS
(中右左),岡 大海,.600,5,1,3,4,0,0,0,0,1,0,1,左飛,,投ゴロ,,左本,,,中安,,右安,,,2025/03/29,ソフトバンク,1,2025RS
(右左),西川 史礁,.222,5,0,1,0,2,0,0,0,0,0,0,左飛,,,中２,二ゴロ,,,空三振,,空三振,,,2025/03/29,ソフトバンク,1,2025RS
一,安田 尚憲,.000,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,2025/03/29,ソフトバンク,0,2025RS
