position,player,avg,ab,r,h,rbi,so,walks,hbp,sac,sb,err,hr,inn1,inn2,inn3,inn4,inn5,inn6,inn7,inn8,inn9,inn10,inn11,inn12,day_of_game,vs_team,starting,series
(右),二俣 翔一,.000,4,0,0,0,1,0,0,0,0,0,0,遊ゴロ,,空三振,,,二ゴロ,,,二飛,,,,2025/03/28,阪神,1,2025RS
(遊),矢野 雅哉,.333,3,0,1,0,0,1,0,0,0,0,0,三ゴロ,,,右安,,二ゴロ,,,四球,,,,2025/03/28,阪神,1,2025RS
(三),小園 海斗,.250,4,0,1,0,0,0,0,0,0,0,0,左飛,,,左飛,,,一ゴロ,,右安,,,,2025/03/28,阪神,1,2025RS
(一),モンテロ,.000,4,0,0,0,1,0,0,0,0,0,0,,空三振,,一ゴロ,,,三ゴロ,,二飛,,,,2025/03/28,阪神,1,2025RS
(中),秋山 翔吾,.250,4,0,1,0,2,0,0,0,0,0,0,,空三振,,一ゴロ,,,右安,,見三振,,,,2025/03/28,阪神,1,2025RS
(左),ファビアン,.000,3,0,0,0,1,0,0,0,0,0,0,,空三振,,,右飛,,右飛,,,,,,2025/03/28,阪神,1,2025RS
(二),菊池 涼介,.333,3,0,1,0,2,0,0,0,0,0,0,,,左２,,空三振,,,見三振,,,,,2025/03/28,阪神,1,2025RS
(投),森下 暢仁,.000,1,0,0,0,1,0,0,1,0,0,0,,,一犠打,,空三振,,,,,,,,2025/03/28,阪神,1,2025RS
投,塹江 敦哉,-,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,2025/03/28,阪神,0,2025RS
投,中﨑 翔太,-,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,2025/03/28,阪神,0,2025RS
打,野間 峻祥,.000,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,遊ゴロ,,,,,2025/03/28,阪神,0,2025RS
捕,石原 貴規,-,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,2025/03/28,阪神,0,2025RS
