position,player,avg,ab,r,h,rbi,so,walks,hbp,sac,sb,err,hr,inn1,inn2,inn3,inn4,inn5,inn6,inn7,inn8,inn9,inn10,inn11,inn12,day_of_game,vs_team,starting,series
(右左),西川 遥輝,.200,5,0,1,1,1,0,0,0,0,0,0,一ゴロ,,,二ゴロ,右安,,見三振,,,左飛,,,2025/03/28,巨人,1,2025RS
(中),岩田 幸宏,.200,5,0,1,0,0,0,0,0,0,0,0,二ゴロ,,,三ゴロ,三ゴロ,,中安,,,中飛,,,2025/03/28,巨人,1,2025RS
(遊),長岡 秀樹,.000,5,0,0,0,1,0,0,0,0,0,0,左飛,,,二ゴロ,空三振,,二併打,,,捕邪飛,,,2025/03/28,巨人,1,2025RS
(左),サンタナ,.500,4,2,2,1,2,0,0,0,0,0,1,,空三振,,,左安,左本,,空三振,,,,,2025/03/28,巨人,1,2025RS
投,山本 大貴,-,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,2025/03/28,巨人,0,2025RS
投,木澤 尚文,-,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,2025/03/28,巨人,0,2025RS
投,田口 麗斗,-,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,2025/03/28,巨人,0,2025RS
投,清水 昇,-,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,2025/03/28,巨人,0,2025RS
(一),オスナ,.000,4,1,0,0,0,0,0,0,0,0,0,,二ゴロ,,,一失,右飛,,二ゴロ,,,,,2025/03/28,巨人,1,2025RS
(二),赤羽 由紘,.250,4,1,1,1,1,0,0,0,0,0,0,,遊飛,,,左安,三ゴロ,,見三振,,,,,2025/03/28,巨人,1,2025RS
(三),茂木 栄五郎,.333,3,1,1,0,0,1,0,0,0,0,0,,,中飛,,四球,右安,,,中飛,,,,2025/03/28,巨人,1,2025RS
(捕),中村 悠平,.250,4,0,1,2,0,0,0,0,0,0,0,,,右飛,,中安,右飛,,,右飛,,,,2025/03/28,巨人,1,2025RS
(投),奥川 恭伸,.000,1,0,0,0,0,0,0,1,0,0,0,,,二邪飛,,一犠打,,,,,,,,2025/03/28,巨人,1,2025RS
打,濱田 太貴,1.000,1,0,1,0,0,0,0,0,0,0,0,,,,,,,左安,,,,,,2025/03/28,巨人,0,2025RS
投,石山 泰稚,-,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,2025/03/28,巨人,0,2025RS
右,丸山 和郁,.000,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,捕ゴロ,,,,2025/03/28,巨人,0,2025RS
(右),西川 遥輝,.125,3,0,0,0,1,0,0,0,0,0,0,空三振,,,投ゴロ,,投ゴロ,,,,,,,2025/03/29,巨人,1,2025RS
投,荘司 宏太,-,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,2025/03/29,巨人,0,2025RS
投,長谷川 宙輝,-,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,2025/03/29,巨人,0,2025RS
一,増田 珠,.000,1,0,0,0,1,0,0,0,0,0,0,,,,,,,,,空三振,,,,2025/03/29,巨人,0,2025RS
(中),岩田 幸宏,.250,3,0,1,0,2,0,0,0,0,0,0,空三振,,,右安,,,空三振,,,,,,2025/03/29,巨人,1,2025RS
打,並木 秀尊,.000,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,遊飛,,,,2025/03/29,巨人,0,2025RS
(遊),長岡 秀樹,.000,3,0,0,0,0,0,0,0,0,0,0,左飛,,,遊併打,,,遊飛,,,,,,2025/03/29,巨人,1,2025RS
(左),サンタナ,.286,3,0,0,0,2,0,0,0,0,0,0,,空三振,,,空三振,,一ゴロ,,,,,,2025/03/29,巨人,1,2025RS
二,武岡 龍世,-,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,2025/03/29,巨人,0,2025RS
(一),オスナ,.000,3,0,0,0,0,0,0,0,0,1,0,,三ゴロ,,,投ゴロ,,,右飛,,,,,2025/03/29,巨人,1,2025RS
投,山本 大貴,-,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,2025/03/29,巨人,0,2025RS
(二右),赤羽 由紘,.286,3,0,1,0,0,0,0,0,0,0,0,,投ゴロ,,,遊ゴロ,,,中安,,,,,2025/03/29,巨人,1,2025RS
(三),茂木 栄五郎,.167,3,0,0,0,0,0,0,0,0,0,0,,,三ゴロ,,,左飛,,中飛,,,,,2025/03/29,巨人,1,2025RS
三,伊藤 琉偉,-,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,2025/03/29,巨人,0,2025RS
(捕),中村 悠平,.200,1,0,0,0,0,0,0,0,0,0,0,,,遊ゴロ,,,,,,,,,,2025/03/29,巨人,1,2025RS
捕,松本 直樹,.500,2,0,1,0,0,0,0,0,0,0,0,,,,,,左２,,三ゴロ,,,,,2025/03/29,巨人,0,2025RS
(投),吉村 貢司郎,-,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,2025/03/29,巨人,1,2025RS
投,金久保 優斗,.000,1,0,0,0,1,0,0,0,0,0,0,,,空三振,,,,,,,,,,2025/03/29,巨人,0,2025RS
投,阪口 皓亮,-,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,2025/03/29,巨人,0,2025RS
打右左,濱田 太貴,.333,2,0,0,0,0,0,0,0,0,0,0,,,,,,一飛,,,三ゴロ,,,,2025/03/29,巨人,0,2025RS
(二),赤羽 由紘,.364,4,0,2,0,1,0,0,0,0,0,0,右飛,,左２,,空三振,,,投安,,,,,2025/03/30,巨人,1,2025RS
(中),西川 遥輝,.083,4,0,0,0,2,0,0,0,0,0,0,二ゴロ,,空三振,,一邪飛,,,空三振,,,,,2025/03/30,巨人,1,2025RS
(左),サンタナ,.182,4,0,0,0,2,0,0,0,0,0,0,三ゴロ,,,二ゴロ,,空三振,,見三振,,,,,2025/03/30,巨人,1,2025RS
(一),オスナ,.091,4,0,1,0,1,0,0,0,0,0,0,,空三振,,左安,,三直,,遊ゴロ,,,,,2025/03/30,巨人,1,2025RS
(遊),長岡 秀樹,.083,4,0,1,0,0,0,0,0,0,0,0,,二ゴロ,,中飛,,左安,,,一ゴロ,,,,2025/03/30,巨人,1,2025RS
(右),濱田 太貴,.167,3,0,0,0,0,0,0,0,0,0,0,,二ゴロ,,右飛,,左飛,,,,,,,2025/03/30,巨人,1,2025RS
打,宮本 丈,.000,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,一ゴロ,,,,2025/03/30,巨人,0,2025RS
(三),茂木 栄五郎,.250,2,0,1,0,1,2,0,0,0,0,0,,,見三振,,四球,,中安,,四球,,,,2025/03/30,巨人,1,2025RS
(捕),松本 直樹,.400,3,0,1,0,0,1,0,0,0,0,0,,,四球,,右飛,,右飛,,左安,,,,2025/03/30,巨人,1,2025RS
(投),高橋 奎二,.000,1,0,0,0,0,0,0,0,0,0,0,,,三飛,,,,,,,,,,2025/03/30,巨人,1,2025RS
打,増田 珠,.500,1,0,1,0,0,0,0,0,0,0,0,,,,,右安,,,,,,,,2025/03/30,巨人,0,2025RS
投,長谷川 宙輝,-,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,2025/03/30,巨人,0,2025RS
投,木澤 尚文,-,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,2025/03/30,巨人,0,2025RS
投,清水 昇,-,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,2025/03/30,巨人,0,2025RS
打,中村 悠平,.167,1,0,0,0,1,0,0,0,0,0,0,,,,,,,空三振,,,,,,2025/03/30,巨人,0,2025RS
投,荘司 宏太,-,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,2025/03/30,巨人,0,2025RS
投,小澤 怜史,-,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,2025/03/30,巨人,0,2025RS
打,丸山 和郁,.000,1,0,0,0,1,0,0,0,0,0,0,,,,,,,,,空三振,,,,2025/03/30,巨人,0,2025RS
(中三),赤羽 由紘,.375,5,1,2,0,1,0,0,0,0,0,0,二安,空三振,,,中安,,遊ゴロ,,二ゴロ,,,,2025/04/02,広島,1,2025RS
(遊),長岡 秀樹,.059,5,0,0,0,1,0,0,0,0,0,0,右飛,,空三振,,捕ゴロ,,中飛,,三邪飛,,,,2025/04/02,広島,1,2025RS
(左),サンタナ,.200,4,1,1,0,1,1,0,0,0,0,0,四球,,二飛,,中飛,,,三安,見三振,,,,2025/04/02,広島,1,2025RS
(一),オスナ,.250,5,1,3,1,0,0,0,0,0,0,0,右安,,遊ゴロ,,二ゴロ,,,中２,,中２,,,2025/04/02,広島,1,2025RS
走,並木 秀尊,.000,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,2025/04/02,広島,0,2025RS
(三),茂木 栄五郎,.273,3,0,1,0,0,0,0,0,0,0,0,中飛,,,中安,,一邪飛,,,,,,,2025/04/02,広島,1,2025RS
打,中村 悠平,.167,0,0,0,0,0,1,0,0,0,0,0,,,,,,,,四球,,,,,2025/04/02,広島,0,2025RS
走中,岩田 幸宏,.222,1,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,投飛,,,2025/04/02,広島,0,2025RS
(二),山田 哲人,.000,4,0,0,0,0,1,0,0,0,0,0,三ゴロ,,,二飛,,中飛,,右飛,,故意四,,,2025/04/02,広島,1,2025RS
(右),宮本 丈,.000,2,0,0,0,0,1,0,0,0,0,0,,二ゴロ,,二ゴロ,,四球,,,,,,,2025/04/02,広島,1,2025RS
投,阪口 皓亮,-,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,2025/04/02,広島,0,2025RS
打,濱田 太貴,.143,1,0,0,0,1,0,0,0,0,0,0,,,,,,,,空三振,,,,,2025/04/02,広島,0,2025RS
右,丸山 和郁,.333,1,0,1,1,0,0,0,0,0,0,0,,,,,,,,,,右安,,,2025/04/02,広島,0,2025RS
(捕),古賀 優大,.667,3,0,2,3,0,1,0,0,0,0,0,,左安,,四球,,左飛,,左２,,,,,2025/04/02,広島,1,2025RS
(投),山野 太一,.000,1,0,0,0,1,0,0,1,0,0,0,,投犠打,,空三振,,,,,,,,,2025/04/02,広島,1,2025RS
右,増田 珠,.250,2,0,0,0,0,0,0,0,0,0,0,,,,,,,三ゴロ,右飛,,,,,2025/04/02,広島,0,2025RS
投,石山 泰稚,-,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,2025/04/02,広島,0,2025RS
投,小澤 怜史,-,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,2025/04/02,広島,0,2025RS
投,木澤 尚文,-,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,2025/04/02,広島,0,2025RS
