position,player,avg,ab,r,h,rbi,so,walks,hbp,sac,sb,err,hr,inn1,inn2,inn3,inn4,inn5,inn6,inn7,inn8,inn9,inn10,inn11,inn12,day_of_game,vs_team,starting,series
(遊),村林 一輝,.333,6,1,2,0,1,0,0,0,0,0,0,二ゴロ,左安,遊ゴロ,,,左２,右邪飛,,空三振,,,,2026/03/27,オリックス,1,2026RS
(中),辰己 涼介,.500,4,3,2,0,0,1,0,0,0,0,0,四球,二失,右安,,,中飛,,左３,,,,,2026/03/27,オリックス,1,2026RS
(指),ボイト,.500,4,2,2,3,0,0,0,0,0,0,0,中２,左２,右飛,,,遊ゴロ,,右犠飛,,,,,2026/03/27,オリックス,1,2026RS
(左),マッカスカー,.400,5,1,2,4,2,0,0,0,0,0,0,左２,左２,,投ゴロ,,空三振,,空三振,,,,,2026/03/27,オリックス,1,2026RS
右左,佐藤 直樹,-,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,2026/03/27,オリックス,0,2026RS
(三),黒川 史陽,.200,5,1,1,1,2,0,0,0,0,0,0,空三振,右安,,空三振,,,三ゴロ,左飛,,,,,2026/03/27,オリックス,1,2026RS
(一),浅村 栄斗,.250,4,0,1,1,1,0,0,0,0,0,0,空三振,中安,,遊ゴロ,,,遊ゴロ,,,,,,2026/03/27,オリックス,1,2026RS
一,鈴木 大地,.000,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,一ゴロ,,,,2026/03/27,オリックス,0,2026RS
(右左),中島 大輔,.333,3,1,1,0,0,1,0,0,0,0,0,,遊ゴロ 四球,,,遊ゴロ,,中安,,,,,,2026/03/27,オリックス,1,2026RS
打,渡邊 佳明,1.000,1,0,1,0,0,0,0,0,0,0,0,,,,,,,,,中安,,,,2026/03/27,オリックス,0,2026RS
走,平良 竜哉,-,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,2026/03/27,オリックス,0,2026RS
右,小郷 裕哉,-,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,2026/03/27,オリックス,0,2026RS
(捕),太田 光,.750,4,1,3,0,0,1,0,0,0,0,0,,左安 四球,,,遊ゴロ,,右安,,中安,,,,2026/03/27,オリックス,1,2026RS
(二),小深田 大翔,.200,5,0,1,1,2,0,0,0,0,0,0,,右飛 空三振,,,見三振,,左安,,中飛,,,,2026/03/27,オリックス,1,2026RS
(右),中島 大輔,.143,4,0,0,0,1,0,0,0,0,0,0,空三振,,左飛,,,右飛,,,二飛,,,,2026/03/28,オリックス,1,2026RS
(中),辰己 涼介,.250,4,0,0,0,3,0,0,0,0,0,0,空三振,,,空三振,,,二ゴロ,,空三振,,,,2026/03/28,オリックス,1,2026RS
(指),ボイト,.571,3,0,2,0,0,0,1,0,0,0,0,左安,,,中飛,,,死球,,左安,,,,2026/03/28,オリックス,1,2026RS
(左),マッカスカー,.222,4,0,0,0,2,0,0,0,0,0,0,二ゴロ,,,空三振,,,見三振,,遊ゴロ,,,,2026/03/28,オリックス,1,2026RS
(三二),黒川 史陽,.250,3,0,1,0,0,0,0,0,0,0,0,,二安,,,中飛,,遊飛,,,,,,2026/03/28,オリックス,1,2026RS
(一),浅村 栄斗,.143,3,0,0,0,0,0,0,0,0,0,0,,三併打,,,二飛,,,左飛,,,,,2026/03/28,オリックス,1,2026RS
(遊),村林 一輝,.250,2,0,0,0,2,0,0,0,0,0,0,,空三振,,,空三振,,,,,,,,2026/03/28,オリックス,1,2026RS
打,小郷 裕哉,1.000,1,0,1,0,0,0,0,0,0,0,0,,,,,,,,右安,,,,,2026/03/28,オリックス,0,2026RS
遊,入江 大樹,-,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,2026/03/28,オリックス,0,2026RS
(捕),太田 光,.500,2,0,0,0,1,0,0,0,0,0,0,,,左飛,,,見三振,,,,,,,2026/03/28,オリックス,1,2026RS
打捕,伊藤 光,.000,1,0,0,0,1,0,0,0,0,0,0,,,,,,,,空三振,,,,,2026/03/28,オリックス,0,2026RS
(二),小深田 大翔,.167,1,0,0,0,1,0,0,0,0,0,0,,,見三振,,,,,,,,,,2026/03/28,オリックス,1,2026RS
