wls,pitcher,innings,pitches,at_bats,hits,homeruns,strikeouts,walks,hit_by_pitch,balks,runs,earned_runs,catcher,day_of_game,vs_team,starting,series
L,今井 達也,9,105,31,6,2,3,0,0,0,2,2,古賀悠,2025/03/28,日本ハム,1,2025RS
,渡邉 勇太朗,7,95,27,5,0,4,1,0,0,2,2,古賀悠,2025/03/29,日本ハム,1,2025RS
,甲斐野 央,1,19,6,1,0,1,2,0,0,0,0,古賀悠,2025/03/29,日本ハム,0,2025RS
H,平良 海馬,1,26,5,1,0,2,1,0,0,0,0,古賀悠,2025/03/29,日本ハム,0,2025RS
L,ウィンゲンター,1,19,6,3,0,1,0,0,0,1,1,古賀悠,2025/03/29,日本ハム,0,2025RS
L,高橋 光成,5,89,23,7,2,3,1,0,0,6,6,古賀悠,2025/03/30,日本ハム,1,2025RS
,E.ラミレス,1,16,3,0,0,0,0,0,0,0,0,牧野,2025/03/30,日本ハム,0,2025RS
,黒木 優太,1,8,3,0,0,0,0,0,0,0,0,牧野,2025/03/30,日本ハム,0,2025RS
,黒田 将矢,1,17,5,2,0,1,0,0,0,1,1,牧野,2025/03/30,日本ハム,0,2025RS
,羽田 慎之介,1,17,4,0,0,1,0,1,0,0,0,牧野,2025/03/30,日本ハム,0,2025RS
,上田 大河,5,97,20,4,0,3,1,0,0,0,0,牧野,2025/04/03,楽天,1,2025RS
L,羽田 慎之介,0.0,20,5,4,0,0,1,0,0,3,3,牧野,2025/04/03,楽天,0,2025RS
,黒木 優太,1,14,3,0,0,0,0,0,0,0,0,牧野,2025/04/03,楽天,0,2025RS
,山田 陽翔,1,18,4,1,0,0,0,0,0,0,0,牧野,2025/04/03,楽天,0,2025RS
,E.ラミレス,1,25,7,3,0,1,1,0,0,1,1,牧野,2025/04/03,楽天,0,2025RS
W,今井 達也,7,118,27,4,0,10,2,0,0,0,0,古賀悠,2025/04/04,ソフトバンク,1,2025RS
,佐藤 隼輔,1,14,4,1,0,0,0,0,0,0,0,炭谷,2025/04/04,ソフトバンク,0,2025RS
,黒田 将矢,1,18,6,2,0,1,1,0,0,0,0,炭谷,2025/04/04,ソフトバンク,0,2025RS
W,隅田 知一郎,7,105,26,5,0,6,1,0,0,2,2,古賀悠,2025/04/05,ソフトバンク,1,2025RS
,甲斐野 央,1,8,3,0,0,0,0,0,0,0,0,古賀悠,2025/04/05,ソフトバンク,0,2025RS
,平良 海馬,1,18,5,2,0,1,0,0,0,1,1,古賀悠,2025/04/05,ソフトバンク,0,2025RS
